Invention/Discovery,Name of the Inventor,Year of Invention
AdhesiveTape,RichardDrew,1930
Airplane,Orville&WilburWright,1930
AlcoholThermometer,GabrielFahrenheit,1709
AstroTurf,J.Faria&R.Wright,1965
BallpointPen,LaszloBiro,1938
Barometer(mercury),EvangelistaTorricelli,1643
Battery(electric),AlessandroVolta,1800
Bicycle,KarlvonSauerbronn,1816
BifocalSpectacles,BenjaminFranklin,1784
Bikini,JacquesHeim/LouisReard,1946
Camera,GeorgeEastman,1888
CanOpener,EzraWarner,1858
CarbonatedWater,JosephPriestly,1767
CelsiusScale,AndersCelsius,1742
Coca-Cola,Dr.JohnPemberton,1886
CompactDisk,JamesRussell,1965
CottonGin,EliWhitney,1793
CylinderLock,LinusYaleJr.,1862
Decimals,SimonStevin,1585
Dishwasher,JosephineG.Cochran,1886
Dynamite,AlfredNobel,1866
ElectricLightBulb,ThomasEdison,1878
ElectricShaver,JacobSchick,1928
Elevator,ElishaOtis,1853/td>
FerrisWheel,G.W.G.FerrisJr.,1893
FrozenFood,ClarenceBirdseye,1925
FountainPen,LewisE.Waterman,1884
GeigerCounter,HansGeiger,1913
Guillotine,Dr.JosephI.Guillotin,1792
Helicopter,IgorSikorsky,1939
Holography,D.Gabor,1965
HotAirBalloon,MontgolfierBrothers,1783
Hovercraft,ChristopherCockerell,1955
Iron(electric),HenryW.Seeley,1882
Jeans,LeviStrauss,1873
JetEngine,FrankWhittle,1930
Kaleidoscope,DavidBrewster,1817
KelvinScale,LordW.T.Kelvin,1848
Laser(ruby),TheodoreMaiman,1960
LightningConductor,BenjaminFranklin,1752
Linoleum,FrederickWalton,1861
Lithography,AloisSenfelder,1796
MachineGun,RichardGattling,1862
Mayonnaise,DukedeRichelieu'schef,1756
Microscope,AnthonyvanLeeuwenhoek,1677
Miners'SafetyLamp,SirHumphryDavy,1815
MovableType,JohannGuttenberg,1453
Nylon,WallaceCarothers,1935
OpticalDisc,DavidPaulGregg,1958
Parachute,Louis-SebastianLenormand,1783
PendulumClock,ChristianHuygens,1656
Phonograph,ThomasEdison,1877
PhosphorusMatches,JohnWalker,1827
PneumaticTyre,JohnDunlop,1888
PressureCooker,DenisPapin,1675
Q-Tips,LeoGerstenzang,1920's
Radio,GuglielmoMarconi,1895
Refrigerator,FerdinandCarre,1859
Revolver,SamuelColt,1836
Rifle,AugustKotter,1520
RocketEngine,RobertGoddard,1926
RollerSkates,JosephMerlin,1760
SafetyPin,WalterHunt,1895
SafetyRazor,KingGillette,1859
SewingMachine(lockstitch),EliasHowe,1846
Sextant,JohnCampbell,1757
SleepingCar,GeorgePullman,1857
SmallpoxVaccination,EdwardJenner,1796
Steamboat,RobertFulton,1807
SteamEngine,ThomasSavery,1698
Submarine,TJohnHolland,1898
TeaBag,ThomasSullivan,1908
Teflon,SamuelMorse,1837
Telegraph,EliasHowe,1846
Telegraph,GuglielmoMarconi,1895
Telephone,AlexanderGrahamBell,1876
Telescope,GalileoGalilei,1609
Television,JohnLogieBaird,1925
Umbrella(steelribbed),SamuelFox,1852
VacuumCleaner,H.CecilBooth,1901
VulcanisedRubber,CharlesGoodyear,1839
WashingMachine(rotary),HamiltonSmith,1858
Xerography,ChesterFloydCarlson,1937
YellowPages,ReubenH.Donnelly,1886
ZipFastener,WhitcombJudson,1893
