year,min,max,total
1784,178401432,178401432,1
1799,179902340,179902340,1
1817,181704136,181704136,1
1787,178701616,178701616,1
1830,53,61,9
1839,50,1464,1415
1845,151,4347,4197
1847,175,5408,5234
1851,166,8621,8456
1852,342,9511,9170
1853,137,10357,10221
1854,443,1214,772
1855,486,1388,903
1856,532,15150,14619
1857,908,185701655,185700748
1858,997,22126,21130
1859,1128,185802429,185801302
1860,1256,186000335,185999080
1861,152,186100517,186100366
1862,1496,186201880,186200385
1863,9,186203270,186203262
1864,1873,186302977,186301105
1865,2014,4082,2069
1866,2203,4329,2127
1867,19,4602,4584
1868,1,186703431,186703431
1869,6,204,199
1870,17,187000063,187000047
1871,37,1611,1575
1872,65,1940,1876
1873,82,2966,2885
1874,110,187403583,187403474
1875,146,7466,7321
1876,177,114796,114620
1877,228,118685,118458
1878,1,200965,200965
1879,16,220807,220792
1880,450,1095,646
1881,430,1744,1315
1882,1439,3301,1863
1883,2291,289418,287128
1884,579,303240,302662
1885,3904,331737,327834
1886,4316,6363,2048
1887,5960,39952,33993
1888,7353,8898,1546
1889,8810,405600,396791
1890,6132,421846,415715
1891,11141,55527,44387
1892,12560,473905,461346
1893,13971,504714,490744
1894,15008,531618,516611
1895,16395,552501,536107
1896,18047,574369,556323
1897,20132,596466,576335
1898,21621,616870,595250
1899,9345,631766,622422
1900,25002,112817,87816
1901,27775,118538,90764
1902,62,30737,30676
1903,1084,32911,31828
1904,32922,222542,189621
1905,34792,356753,321962
1906,36476,283546,247071
1907,39663,183216,143554
1908,41597,878737,837141
1909,44444,397974,353531
1910,45540,405725,360186
1911,49313,423445,374133
1912,1701,255032,253332
1913,66,266516,266451
1914,102,464260,464159
1915,868,288095,287228
1916,1616,295091,293476
1917,1574,299541,297968
1918,2314,304723,302410
1919,2642,1313939,1311298
1920,4348,329947,325600
1921,5411,191510669,191505259
1922,6643,361969,355327
1923,8023,386017,377995
1924,10554,576920,566367
1925,6507,591827,585321
1926,14309,1605988,1591680
1927,11136,450958,439823
1928,467,467710,467244
1929,19953,1729651,1709699
1930,543,1756411,1755869
1931,23881,1031568,1007688
1932,26976,738682,711707
1933,27695,745784,718090
1938,11958,1440728,1428771
1943,54113,740472,686360
1947,58806,589212,530407
1953,5035,1026556,1021522
1961,64,1272845,1272782
1964,44836,1180612,1135777
1969,6595,6751053,6744459
1970,7945,7014433,7006489
1976,15050,7604204,7589155
1990,1660,900100241,900098582
2003,6941,32002000572,32001993632
2005,99961,113468,13508
2006,106080,115084,9005
2010,32007000305,32010000491,3000187
2012,22008000557,32012001077,10004000521
